"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2019","17.071","17.245","17.355","16.940","18.35K","-1.49%"
"08/07/2019","17.330","16.580","17.390","16.580","23.28K","4.56%"
"08/06/2019","16.575","16.585","16.660","16.495","8.19K","0.31%"
"08/05/2019","16.523","16.390","16.705","16.260","6.18K","0.75%"
"08/02/2019","16.400","16.475","16.495","16.165","7.42K","0.56%"
"08/01/2019","16.309","16.415","16.530","16.065","8.38K","-1.35%"
"07/31/2019","16.533","16.725","16.725","16.350","6.93K","-0.93%"
"07/30/2019","16.688","16.615","16.765","16.560","2.58K","0.72%"
"07/29/2019","16.569","16.575","16.625","16.500","4.01K","0.27%"
"07/26/2019","16.525","16.580","16.660","16.490","4.97K","-0.07%"
"07/25/2019","16.536","16.760","16.805","16.475","5.61K","-1.28%"
"07/24/2019","16.750","16.550","16.800","16.475","4.47K","0.92%"
"07/23/2019","16.597","16.485","16.690","16.320","4.92K","0.40%"
"07/22/2019","16.531","16.385","16.570","16.320","2.55K","1.32%"
"07/19/2019","16.315","16.495","16.735","16.205","7.84K","0.00%"
"07/18/2019","16.315","16.130","16.500","16.080","5.43K","1.42%"
"07/17/2019","16.086","15.705","16.145","15.675","4.31K","1.84%"
"07/16/2019","15.795","15.565","15.850","15.460","4.21K","2.02%"
"07/15/2019","15.482","15.360","15.545","15.305","2.20K","0.83%"
"07/12/2019","15.354","15.260","15.390","15.195","2.49K","0.59%"
"07/11/2019","15.264","15.395","15.455","15.235","2.88K","-0.52%"
"07/10/2019","15.344","15.250","15.430","15.190","4.45K","0.52%"
"07/09/2019","15.264","15.170","15.270","15.090","3.02K","0.64%"
"07/08/2019","15.167","15.150","15.265","15.110","3.38K","0.32%"
"07/05/2019","15.118","15.440","15.485","15.035","4.14K","0.78%"
"07/04/2019","15.001","15.365","15.370","14.915","109.25K","-2.91%"
"07/03/2019","15.450","15.470","15.620","15.350","2.85K","0.64%"
"07/02/2019","15.351","15.270","15.475","15.185","3.81K","0.33%"
"07/01/2019","15.301","15.400","15.445","15.265","1.87K","-0.95%"
"06/28/2019","15.447","15.415","15.490","15.360","1.45K","0.31%"
"06/27/2019","15.400","15.435","15.435","15.315","1.13K","0.16%"
"06/26/2019","15.375","15.430","15.435","15.240","76.04K","-0.05%"
"06/25/2019","15.383","15.540","15.590","15.340","82.57K","-0.50%"
"06/24/2019","15.461","15.445","15.540","15.370","51.72K","0.59%"
"06/21/2019","15.370","15.525","15.625","15.235","43.99K","-1.27%"
"06/20/2019","15.568","15.240","15.590","15.190","56.56K","3.57%"
"06/19/2019","15.032","15.070","15.245","14.980","20.48K","-0.23%"
"06/18/2019","15.067","14.895","15.155","14.875","21.58K","1.11%"
"06/17/2019","14.902","14.910","14.960","14.830","9.80K","0.16%"
"06/14/2019","14.878","14.965","15.190","14.850","14.13K","-0.57%"
"06/13/2019","14.964","14.825","14.995","14.790","16.08K","0.92%"
"06/12/2019","14.827","14.795","14.930","14.790","10.10K","0.08%"
"06/11/2019","14.815","14.765","14.850","14.705","15.42K","0.69%"
